Count of sector;Column Labels;;;;;;;;;;;;;;;;;
Row Labels;1.11 m;1.32 m;1.34 m;2.45 m;2.56 m;2.67 m;2.79 m;3.79 m;4.89 m;5.56m;5.89 m;6.79 m;7.90 m;7.98 m;8.89 m;9.78 m;(blank);Grand Total
 $12.955 billion;;;;;;;;;2;2;;1;;1;2;1;;9
 $161.1 billion;;;;;;;1;1;;1;;;1;;;;;4
 $50 billion;;;;;;;;;;1;;;;;;;;1
 619 billion;;;;;;;;;;;;;;;;1;;1
$135.94 billion;;;;;;;;;;;1;1;;;;;;2
$234.774B,;;;;;1;;;;;;;;;;;;;1
$267.02 B;;;1;;;;;;;;;1;;;;;;2
$282.836B;;;;;;;;;;;;1;;;;;;1
$47.242B;;;;;;;;;;;;4;;;1;;;5
$5 billion;;;;1;;;;;;1;1;;1;;;;;4
12.4 billion ;1;1;;;;;;;;;;;;;;;;2
15.78 billion;;;;;;;;;1;;;;;;;;;1
168 milyar ;;;;;;;;1;3;1;;;;;2;;;7
43.65B;;;;;;;;;;;1;;;;;;;1
507.161.03;;;;;;;;;;;1;;;;;;;1
540.3 billion yuan;;;;;;;;;;;;1;;;;;;1
554.55 billion;;;;;;1;;;1;;;;1;1;;1;;5
82.7 billion ;;;;;;1;;;;;;;;;;;;1
(blank);;;;;;;;;;;;;;;;;;
Grand Total;1;1;1;1;1;2;1;2;7;6;4;9;3;2;5;3;;49
